student,id,color,defect,total.number,weight
grenobwk,1,BL,N,56,49
grenobwk,2,BL,N,56,49
grenobwk,3,BL,L,56,49
grenobwk,4,BL,N,56,49
grenobwk,5,BL,N,56,49
grenobwk,6,BL,L,56,49
grenobwk,7,BL,N,56,49
grenobwk,8,BL,N,56,49
grenobwk,9,BL,N,56,49
grenobwk,10,BL,N,56,49
grenobwk,11,BL,N,56,49
grenobwk,12,BL,N,56,49
grenobwk,13,BL,L,56,49
grenobwk,14,BL,L,56,49
grenobwk,15,BL,N,56,49
grenobwk,16,G,N,56,49
grenobwk,17,G,L,56,49
grenobwk,18,G,L,56,49
grenobwk,19,G,N,56,49
grenobwk,20,G,N,56,49
grenobwk,21,G,N,56,49
grenobwk,22,G,L,56,49
grenobwk,23,G,N,56,49
grenobwk,24,G,N,56,49
grenobwk,25,G,N,56,49
grenobwk,26,G,L,56,49
grenobwk,27,G,L,56,49
grenobwk,28,G,L,56,49
grenobwk,29,G,L,56,49
grenobwk,30,R,N,56,49
grenobwk,31,R,M,56,49
grenobwk,32,R,N,56,49
grenobwk,33,R,N,56,49
grenobwk,34,R,L,56,49
grenobwk,35,BR,L,56,49
grenobwk,36,BR,L,56,49
grenobwk,37,BR,N,56,49
grenobwk,38,BR,N,56,49
grenobwk,39,BR,N,56,49
grenobwk,40,BR,L,56,49
grenobwk,41,BR,N,56,49
grenobwk,42,BR,L,56,49
grenobwk,43,BR,N,56,49
grenobwk,44,BR,N,56,49
grenobwk,45,BR,N,56,49
grenobwk,46,BR,N,56,49
grenobwk,47,O,L,56,49
grenobwk,48,O,C,56,49
grenobwk,49,O,N,56,49
grenobwk,50,O,N,56,49
grenobwk,51,O,N,56,49
grenobwk,52,O,N,56,49
grenobwk,53,Y,L,56,49
grenobwk,54,Y,L,56,49
grenobwk,55,Y,N,56,49
grenobwk,56,Y,N,56,49
schiesjc,1,Y,N,56,50
schiesjc,2,Y,N,56,50
schiesjc,3,Y,N,56,50
schiesjc,4,Y,L,56,50
schiesjc,5,O,N,56,50
schiesjc,6,O,N,56,50
schiesjc,7,O,N,56,50
schiesjc,8,O,M,56,50
schiesjc,9,O,C,56,50
schiesjc,10,BR,L,56,50
schiesjc,11,BR,L,56,50
schiesjc,12,BR,L,56,50
schiesjc,13,BR,L,56,50
schiesjc,14,BR,L,56,50
schiesjc,15,BR,L,56,50
schiesjc,16,BR,N,56,50
schiesjc,17,BR,N,56,50
schiesjc,18,BR,N,56,50
schiesjc,19,BR,N,56,50
schiesjc,20,BR,N,56,50
schiesjc,21,BR,N,56,50
schiesjc,22,BR,N,56,50
schiesjc,23,BR,N,56,50
schiesjc,24,G,M,56,50
schiesjc,25,G,L,56,50
schiesjc,26,G,N,56,50
schiesjc,27,G,N,56,50
schiesjc,28,G,N,56,50
schiesjc,29,G,N,56,50
schiesjc,30,G,N,56,50
schiesjc,31,G,N,56,50
schiesjc,32,G,N,56,50
schiesjc,33,G,N,56,50
schiesjc,34,G,N,56,50
schiesjc,35,G,N,56,50
schiesjc,36,G,N,56,50
schiesjc,37,G,N,56,50
schiesjc,38,G,N,56,50
schiesjc,39,G,N,56,50
schiesjc,40,BL,C,56,50
schiesjc,41,BL,L,56,50
schiesjc,42,BL,L,56,50
schiesjc,43,BL,L,56,50
schiesjc,44,BL,L,56,50
schiesjc,45,BL,N,56,50
schiesjc,46,BL,N,56,50
schiesjc,47,BL,N,56,50
schiesjc,48,BL,N,56,50
schiesjc,49,BL,N,56,50
schiesjc,50,R,L,56,50
schiesjc,51,R,N,56,50
schiesjc,52,R,N,56,50
schiesjc,53,R,N,56,50
schiesjc,54,R,N,56,50
schiesjc,55,R,N,56,50
schiesjc,56,R,N,56,50
bell2ml,1,BR,N,56,48
bell2ml,2,G,L,56,48
bell2ml,3,G,N,56,48
bell2ml,4,Y,L,56,48
bell2ml,5,R,N,56,48
bell2ml,6,BR,L,56,48
bell2ml,7,Y,L,56,48
bell2ml,8,BR,L,56,48
bell2ml,9,BR,L,56,48
bell2ml,10,R,N,56,48
bell2ml,11,BL,L,56,48
bell2ml,12,BL,L,56,48
bell2ml,13,Y,L,56,48
bell2ml,14,O,L,56,48
bell2ml,15,BR,L,56,48
bell2ml,16,R,N,56,48
bell2ml,17,O,M,56,48
bell2ml,18,BL,N,56,48
bell2ml,19,BL,M,56,48
bell2ml,20,R,N,56,48
bell2ml,21,Y,N,56,48
bell2ml,23,BR,L,56,48
bell2ml,24,BR,N,56,48
bell2ml,25,R,N,56,48
bell2ml,26,BR,N,56,48
bell2ml,27,O,N,56,48
bell2ml,28,BR,L,56,48
bell2ml,29,BR,L,56,48
bell2ml,30,R,N,56,48
bell2ml,31,BR,L,56,48
bell2ml,32,G,L,56,48
bell2ml,34,G,L,56,48
bell2ml,35,G,N,56,48
bell2ml,36,G,N,56,48
bell2ml,37,BL,N,56,48
bell2ml,38,O,L,56,48
bell2ml,39,G,L,56,48
bell2ml,40,O,N,56,48
bell2ml,41,O,N,56,48
bell2ml,42,O,C,56,48
bell2ml,43,BR,L,56,48
bell2ml,44,G,N,56,48
bell2ml,45,R,N,56,48
bell2ml,46,BL,M,56,48
bell2ml,47,R,N,56,48
bell2ml,48,BR,C,56,48
bell2ml,49,BR,L,56,48
bell2ml,50,BL,L,56,48
bell2ml,51,R,N,56,48
bell2ml,52,Y,N,56,48
bell2ml,53,G,L,56,48
bell2ml,54,G,L,56,48
bell2ml,55,O,N,56,48
bell2ml,56,G,N,56,48
edejerrr,1,R,N,61,42
edejerrr,2,G,N,61,42
edejerrr,3,O,L,61,42
edejerrr,4,G,L,61,42
edejerrr,5,BL,L,61,42
edejerrr,6,R,L,61,42
edejerrr,7,BR,N,61,42
edejerrr,8,R,L,61,42
edejerrr,9,O,L,61,42
edejerrr,10,BL,N,61,42
edejerrr,11,BR,L,61,42
edejerrr,12,BL,N,61,42
edejerrr,13,G,N,61,42
edejerrr,14,BR,C,61,42
edejerrr,15,BR,N,61,42
edejerrr,16,Y,L,61,42
edejerrr,17,O,C,61,42
edejerrr,18,BR,C,61,42
edejerrr,19,Y,L,61,42
edejerrr,20,O,M,61,42
edejerrr,21,O,M,61,42
edejerrr,22,G,L,61,42
edejerrr,23,G,N,61,42
edejerrr,24,O,C,61,42
edejerrr,25,BR,N,61,42
edejerrr,26,BL,N,61,42
edejerrr,27,Y,N,61,42
edejerrr,28,BL,N,61,42
edejerrr,29,BR,L,61,42
edejerrr,30,BL,N,61,42
edejerrr,31,BR,N,61,42
edejerrr,32,O,C,61,42
edejerrr,33,G,M,61,42
edejerrr,34,BR,C,61,42
edejerrr,35,BL,N,61,42
edejerrr,36,R,L,61,42
edejerrr,37,R,N,61,42
edejerrr,38,BL,N,61,42
edejerrr,39,BR,N,61,42
edejerrr,40,G,C,61,42
edejerrr,41,BL,L,61,42
edejerrr,42,BL,N,61,42
edejerrr,43,Y,N,61,42
edejerrr,44,R,C,61,42
edejerrr,45,R,N,61,42
edejerrr,46,BR,N,61,42
edejerrr,47,BL,C,61,42
edejerrr,48,G,N,61,42
edejerrr,49,O,C,61,42
edejerrr,50,BR,C,61,42
edejerrr,51,G,C,61,42
edejerrr,52,G,C,61,42
edejerrr,53,G,C,61,42
edejerrr,54,O,L,61,42
edejerrr,55,BR,L,61,42
edejerrr,56,Y,L,61,42
edejerrr,57,R,N,61,42
edejerrr,58,O,L,61,42
edejerrr,59,O,N,61,42
edejerrr,60,R,N,61,42
edejerrr,61,BR,M,61,42
overbyjc,1,BL,M,58,52
overbyjc,2,R,N,58,52
overbyjc,3,BL,N,58,52
overbyjc,4,BL,L,58,52
overbyjc,5,BR,M,58,52
overbyjc,6,R,M,58,52
overbyjc,7,BL,L,58,52
overbyjc,8,BR,L,58,52
overbyjc,9,BR,N,58,52
overbyjc,10,Y,N,58,52
overbyjc,11,R,N,58,52
overbyjc,12,BL,N,58,52
overbyjc,13,R,M,58,52
overbyjc,14,BR,C,58,52
overbyjc,15,BR,N,58,52
overbyjc,16,BR,L,58,52
overbyjc,17,BR,N,58,52
overbyjc,18,Y,N,58,52
overbyjc,19,G,C,58,52
overbyjc,20,O,C,58,52
overbyjc,21,Y,L,58,52
overbyjc,22,BR,C,58,52
overbyjc,23,BL,L,58,52
overbyjc,24,O,L,58,52
overbyjc,25,Y,M,58,52
overbyjc,26,O,L,58,52
overbyjc,27,O,N,58,52
overbyjc,28,BL,L,58,52
overbyjc,29,BR,N,58,52
overbyjc,30,BR,C,58,52
overbyjc,31,R,N,58,52
overbyjc,32,BR,N,58,52
overbyjc,33,BR,N,58,52
overbyjc,34,O,L,58,52
overbyjc,35,R,L,58,52
overbyjc,36,Y,L,58,52
overbyjc,37,O,N,58,52
overbyjc,38,G,N,58,52
overbyjc,39,BL,M,58,52
overbyjc,40,BR,N,58,52
overbyjc,41,BR,L,58,52
overbyjc,42,BR,L,58,52
overbyjc,43,O,L,58,52
overbyjc,44,BR,N,58,52
overbyjc,45,O,N,58,52
overbyjc,46,R,N,58,52
overbyjc,47,O,L,58,52
overbyjc,48,BL,M,58,52
overbyjc,49,BR,M,58,52
overbyjc,50,BR,L,58,52
overbyjc,51,BL,L,58,52
overbyjc,52,BR,L,58,52
overbyjc,53,R,N,58,52
overbyjc,54,BL,C,58,52
overbyjc,55,BL,N,58,52
overbyjc,56,R,N,58,52
overbyjc,57,G,N,58,52
overbyjc,58,G,M,58,52
golds2gd,1,BL,N,59,48
golds2gd,2,BR,N,59,48
golds2gd,3,O,N,59,48
golds2gd,4,O,L,59,48
golds2gd,5,BR,N,59,48
golds2gd,6,G,N,59,48
golds2gd,7,BL,L,59,48
golds2gd,8,BR,N,59,48
golds2gd,9,BL,M,59,48
golds2gd,10,G,L,59,48
golds2gd,11,BR,N,59,48
golds2gd,12,BL,L,59,48
golds2gd,13,BR,L,59,48
golds2gd,14,O,N,59,48
golds2gd,15,BL,N,59,48
golds2gd,16,Y,N,59,48
golds2gd,17,BR,L,59,48
golds2gd,18,R,N,59,48
golds2gd,19,BR,N,59,48
golds2gd,20,R,N,59,48
golds2gd,22,BR,M,59,48
golds2gd,23,G,N,59,48
golds2gd,24,BR,N,59,48
golds2gd,25,Y,N,59,48
golds2gd,26,BL,N,59,48
golds2gd,27,G,L,59,48
golds2gd,28,O,N,59,48
golds2gd,29,BL,N,59,48
golds2gd,30,BR,N,59,48
golds2gd,31,BR,N,59,48
golds2gd,32,R,N,59,48
golds2gd,34,BR,L,59,48
golds2gd,35,Y,L,59,48
golds2gd,36,BR,N,59,48
golds2gd,37,R,L,59,48
golds2gd,38,BL,N,59,48
golds2gd,39,BR,N,59,48
golds2gd,40,O,N,59,48
golds2gd,41,G,N,59,48
golds2gd,42,O,N,59,48
golds2gd,43,Y,L,59,48
golds2gd,44,BR,L,59,48
golds2gd,45,BR,L,59,48
golds2gd,46,BL,N,59,48
golds2gd,47,Y,N,59,48
golds2gd,48,BL,N,59,48
golds2gd,49,Y,N,59,48
golds2gd,50,BR,N,59,48
golds2gd,51,G,N,59,48
golds2gd,52,BL,N,59,48
golds2gd,53,BL,L,59,48
golds2gd,54,BL,L,59,48
golds2gd,55,BR,N,59,48
golds2gd,56,O,N,59,48
golds2gd,57,BL,N,59,48
golds2gd,58,BL,C,59,48
golds2gd,59,G,N,59,48
Wolfelc,1,BR,N,57,51
Wolfelc,2,BR,L,57,51
Wolfelc,3,BL,N,57,51
Wolfelc,4,O,N,57,51
Wolfelc,5,BR,N,57,51
Wolfelc,6,Y,L,57,51
Wolfelc,7,BL,N,57,51
Wolfelc,8,BR,L,57,51
Wolfelc,9,BR,L,57,51
Wolfelc,10,R,N,57,51
Wolfelc,11,G,N,57,51
Wolfelc,12,BR,N,57,51
Wolfelc,13,O,L,57,51
Wolfelc,14,R,N,57,51
Wolfelc,15,BL,N,57,51
Wolfelc,16,BL,N,57,51
Wolfelc,17,BR,N,57,51
Wolfelc,18,R,N,57,51
Wolfelc,19,G,L,57,51
Wolfelc,20,Y,N,57,51
Wolfelc,21,G,N,57,51
Wolfelc,22,G,N,57,51
Wolfelc,23,BL,L,57,51
Wolfelc,24,BR,N,57,51
Wolfelc,25,BR,L,57,51
Wolfelc,26,BR,L,57,51
Wolfelc,27,BR,M,57,51
Wolfelc,28,O,M,57,51
Wolfelc,29,BR,L,57,51
Wolfelc,30,R,L,57,51
Wolfelc,31,O,C,57,51
Wolfelc,32,BR,N,57,51
Wolfelc,33,R,C,57,51
Wolfelc,34,G,C,57,51
Wolfelc,35,G,N,57,51
Wolfelc,36,BR,N,57,51
Wolfelc,37,BR,N,57,51
Wolfelc,38,BR,N,57,51
Wolfelc,39,Y,N,57,51
Wolfelc,40,Y,N,57,51
Wolfelc,41,R,N,57,51
Wolfelc,42,R,L,57,51
Wolfelc,43,BL,N,57,51
Wolfelc,44,G,N,57,51
Wolfelc,45,G,C,57,51
Wolfelc,46,G,N,57,51
Wolfelc,47,BR,N,57,51
Wolfelc,48,O,N,57,51
Wolfelc,49,G,N,57,51
Wolfelc,50,G,L,57,51
Wolfelc,51,O,N,57,51
Wolfelc,52,O,C,57,51
Wolfelc,53,R,N,57,51
Wolfelc,54,R,L,57,51
Wolfelc,55,BL,L,57,51
Wolfelc,56,G,L,57,51
Wolfelc,57,BR,N,57,51
henriqta,1,O,N,58,50
henriqta,2,R,N,58,50
henriqta,3,BR,N,58,50
henriqta,4,BR,N,58,50
henriqta,5,BR,N,58,50
henriqta,6,BL,L,58,50
henriqta,7,BL,L,58,50
henriqta,8,BL,L,58,50
henriqta,9,R,L,58,50
henriqta,10,G,L,58,50
henriqta,11,BR,N,58,50
henriqta,12,BR,N,58,50
henriqta,13,O,N,58,50
henriqta,14,G,L,58,50
henriqta,15,R,N,58,50
henriqta,16,G,L,58,50
henriqta,17,R,L,58,50
henriqta,18,BL,N,58,50
henriqta,19,O,N,58,50
henriqta,20,R,L,58,50
henriqta,21,BR,N,58,50
henriqta,22,G,N,58,50
henriqta,23,G,N,58,50
